run,game_seconds,worker_target,base_target,posture,attack_threshold,retreat_threshold,reservation,objective,guidance
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,793.75,74,5,attack,85,55,16,Attack the remembered Zerg natural now while replenishing with Colossi and Immortals and completing the fifth base.,"Attack immediately; do not wait for production ceilings or upgrades. Keep the Observer escort for burrow detection. Prioritize Colossi with completed Thermal Lance, then replace lost Immortals against roaches. Add the second Robotics Facility as minerals permit. Maintain 74 workers and transfer existing workers onto the fifth base when ready as the oldest base depletes. Start weapons level 2 after level 1 completes. Army goals are replenishment ceilings, not simultaneous requirements at 200 supply. Build Pylons only to replace lost supply or repair power."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,845.7142857142858,74,5,attack,85,55,,Continue attacking the Zerg natural; replace losses with Colossi and Immortals and strengthen ground upgrades.,"Maintain the attack now and search remaining expansions after remembered structures fall. At 200 supply, spend on the second Forge and upgrades while fighting; do not wait for army ceilings. As losses free supply, prioritize Colossi then Immortals before gateway replacements. Keep the Observer escort and replace it if lost. Start armor on the second Forge and weapons level 2 after level 1 completes. Transfer workers from the nearly depleted base to the pending fifth base when ready. Pylons only replace lost supply or repair power."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,906.2500000000001,74,6,attack,85,55,,"Maintain the attack, clear remembered Zerg tech, and replace losses with Colossi and Immortals while sustaining mineral income.","Continue attacking immediately; clear remembered structures then search expansions. Army ceilings are replacements, not prerequisites. As combat frees supply, prioritize Colossi and Immortals before gateway units. Maintain Observer escort against possible Lurkers; add a backup when supply permits. At maximum supply, build the sixth Nexus and extra Gateways and research armor and shields when Forges become available. Start weapons 3 after weapons 2 finishes. Move workers from the 90-mineral base into open mineral slots. Keep workers capped at 74 and add no gas. Pylons only restore lost supply or power."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v22-20260922-cheatvision-001,25.53571428571429,30,2,defend,16,8,,"Establish mineral income, a safe Gateway opening, and a natural expansion.","Train a Probe now and Chronoboost worker production. Build the first Pylon at 10 workers, then Gateway and one Assimilator. Add Cybernetics Core when Gateway completes. Maintain up to 16 mineral workers and 3 gas workers on the main; start the natural near saturation before producing additional workers. Build subsequent Pylons as supply requires. Get early Zealot defense and Stalkers; start Warp Gate after the first Stalker. Scout after Gateway starts; defend against any early aggression."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v22-20260922-cheatvision-001,81.42857142857143,32,2,defend,16,8,21,"Establish Gateway defense, saturate the main, and expand before further worker growth.","The first Pylon is pending; let it finish and build the first Gateway promptly. Resume Probes with supply, saturating 16 mineral and 3 gas slots. Build the Core after the first Gateway and one Zealot for safety. At 19 workers save for the natural; avoid excess workers until expansion capacity opens. Add the second Gateway after starting the Nexus. Produce Stalkers and start Warp Gate after the first Stalker. Add Pylons according to forecast, not all immediately. Continue existing scouting and defend locally."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v22-20260922-cheatvision-001,141.7857142857143,38,2,defend,20,10,21,"Secure the natural expansion, establish Gateway defense, and grow a sustainable two-base economy.","Finish the pending Gateway and build the Core as soon as legal. Reach 19 workers, then save and build the natural promptly. Hold worker production near main saturation until the natural is close to completion, then grow toward 38. Train an initial Zealot and prioritize the first Adept and Stalker over additional Gateways. Start Warp Gate after initial defense. Saturate existing gas before adding the second Assimilator; add it after the Nexus starts. Add Gateways as income grows and Pylons according to supply forecast. Continue the assigned scout and defend both bases; unseen Zerg forces remain unknown."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v22-20260922-cheatvision-001,201.96428571428572,38,2,defend,28,12,,"Saturate two bases, establish Gateway defense, and add Immortals with detection.","Build the forecast Pylon and train an initial Adept and Stalker promptly. Grow workers as the natural finishes; cap at current mineral and gas saturation until it is ready. Prioritize mineral income and add no further gas infrastructure. Start Warp Gate after initial defenders. Add Robotics after worker growth resumes, then prioritize the first Immortal over the Observer. Add the third Gateway as income supports it. Pylon total is headroom, not an immediate construction quota. Defend both bases and continue assigned scouting; enemy forces remain unknown."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v22-20260922-cheatvision-001,258.92857142857144,38,2,defend,28,12,,Saturate the finishing natural and build a defensive Stalker–Immortal army with detection.,"Main mineral and gas lines are saturated: resume worker growth into the natural when it completes. Add no gas or further tech. Train initial Stalkers for anti-air and defense while Robotics finishes; then save for the first Immortal before buying the Observer or third Gateway. Alternate worker growth and combat production; do not fill a whole unit ceiling before producing the next type. Add Pylons as forecast requires, accounting for the pending Pylon. Keep defending both bases and continue existing scouting; enemy strength is unknown."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v22-20260922-cheatvision-001,364.01785714285717,38,2,defend,40,0,14,Survive the Roach attack and rebuild an Immortal–Stalker defense while maintaining two-base income.,Restore defense immediately with action 72. Save for an Immortal now and keep Robotics producing against Roaches; prioritize Stalker reinforcements between Immortals. Use safe powered warp-in positions after the recent construction loss. Finish the pending battery and maintain at most two. Replace worker losses only up to two-base saturation. Existing mineral reserves support holding two bases; defer expansion and extra technology during the attack. Add Pylons when forecast requires.
Large-Language-Models-play-StarCraftII/jev_runs/macro-v22-20260922-cheatvision-001,407.5892857142857,35,2,defend,40,0,,"Survive the Roach attack with Immortals and Stalkers, then restore the lost expansion.",Stop Probe production: the remaining base is saturated. Prioritize the pending Immortal and immediate Stalker reinforcements; keep Robotics producing Immortals whenever available. Use safe powered warp-in locations after placement failures. Finish existing batteries and add Pylons only for forecast supply or power repair. Rebuild the second Nexus once local Roaches are cleared and defense is stable; transfer surplus workers there. Avoid optional technology and additional gas.
Large-Language-Models-play-StarCraftII/jev_runs/macro-v22-20260922-cheatvision-001,462.76785714285717,29,2,defend,40,0,26,"Hold the main against Roaches, rebuild Robotics, and establish sustained Immortal production before restoring the expansion.","Warp in Stalkers immediately to hold with existing batteries. Rebuild the lost Robotics at a safe powered location; retry its prior engine failure when affordable. Combat at the attacked base may override the Robotics reserve. Once Robotics finishes, prioritize Immortals over additional Stalkers. Add limited Zealots as a screen. Existing batteries suffice; spend on fighting units. Replace workers only after losses below useful saturation; do not grow the saturated main. Restore the second Nexus only after local attackers are cleared and defense stabilizes, then transfer surplus workers. Build Pylons only for supply or power."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v22-20260922-cheatvision-001,491.6964285714286,29,2,defend,40,0,,"Survive the attack with immediate Stalkers and sustained Immortal production, then restore a second mineral line.","Execute the pending Stalker directive immediately; keep warping in defenders instead of waiting. Robotics is still pending: train Immortals as soon as it finishes, prioritizing them over further Stalkers when affordable. Defend home with existing batteries and a small Zealot screen. Spend on combat rather than more infrastructure or upgrades. Maintain the worker cap on the saturated main. Build the second Nexus after local attackers are cleared and defense stabilizes, then transfer excess mineral workers. Add Pylons as supply or power requires."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v22-20260922-cheatvision-001,523.8392857142858,28,1,defend,40,0,21,"Rebuild the lost Nexus urgently, restore mineral income, and defend with Immortals and Stalkers.","Save 400 minerals and rebuild a Nexus at a viable mineral line immediately. The reported income predates the Nexus loss; restoring a mineral drop-off is critical. Existing workers already exceed one-base saturation, so replace only losses after mining resumes. Let pending defenders finish and defend near powered batteries. Prioritize Immortals against Roaches, then Stalkers. Add Pylons for actual supply or power needs; avoid optional infrastructure and research."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v22-20260922-cheatvision-001,573.4821428571429,25,1,defend,20,8,21,Restore a Nexus and mineral income; preserve remaining resources for recovery.,"Recovery is currently blocked: no Nexus, zero income and only 55 minerals cannot fund a 400-mineral Nexus. Preserve minerals; existing pending Pylons should finish before considering additional supply. Rebuild a Nexus at a viable mineral line if funds become available, then restore one powered Gateway and produce Stalkers. Existing workers are sufficient; do not increase their count or buy gas infrastructure, upgrades or optional defenses."
